100|HUNDRED|hundred
11|ELEVEN|eleven
1dollar|1_DOLLAR|1_dollar
5dollars|5_DOLLAR|5_dollars
8hour|NUMBER-HOURS|8_hour
8hours|NUMBER-HOURS|8_hour
900|OCLOCK-NUMBER|9_oclock
9o'clock|OCLOCK-NUMBER|9_oclock
9oclock|OCLOCK-NUMBER|9_oclock
a-linebob|A-LINE_BOB|a_line_bob
abandon|LEAVE-ALONE|leave_alone
abbreviate|SHORT|abbreviate
abbreviation|SUMMARIZE|summarize
abcs|ALPHABET|alphabet
ability|POSSIBLE|possible
able|POSSIBLE|possible
ableto|CAN|can
abletosign|PRODUCE-SIGN|produce_sign
abortion|REMOVE|remove
about|WHEN|when
about1|ABOUT|about
about2|ABOUT|about
above|SUPERIOR|superior
absent|SKIP|delinquent
absolutely|PROMISE|dedicate_1
absolutelynothing|ABSOLUTELY-NOTHING|absolutely_nothing
absorbed|FASCINATED|fascinated
abstain|RESIST|resist
abunch|MUCH|much
academic|SCHOOL|school
academicarticle|ARTICLE|article
accent|ACCENT|accent
accept|ACCEPT|accept
access|ACCESS|access
accessibility|ACCESS|access
accessible|ACCESS|access
accessories|RING|ring
accessory|UMBRELLA|umbrella
accident|ACCIDENT|accident
accomplish|FINALLY|finally
accordingto|FOLLOW|follow_1
accordion|ACCORDION|accordion
account|STORY|story_2
accountability|RESPONSIBILITY|responsibility
accountable|RESPONSIBILITY|responsibility
accountant|ACCOUNTANT|accountant
accounting|SCORE|score
accuracy|RIGHT|right_1
accurate|RIGHT|right_1
accuse|BLAME|blame
accustomed|USED-TO|habit
ache|HEADACHE|headache
acknowledge|KNOW|know
acne|FRECKLES|freckles
acquire|ACQUIRE|acquire
acquisition|ACQUIRE|acquire
across|OVER|over
act|ACTION|action
acting|ACTOR|actor
action|ACTION|action
actionfigure|DOLL|doll
activity|ACTION|action
actor|ACTOR|actor
actress|ACTOR|actor
actslike|BEHAVIOR|behavior
actually|TRUE-BIZ|true_business
ad|ADVERTISE|advertise
adapt|CHANGE|change
add|ADD|add
addict|ADDICT|addict
addicted|ADDICT|addict
addiction|ADDICT|addict
addin|SCOOP|scoop
address|LIVE|address
adhesive|STICKY|sticky
adjacent|NEAR|near
adjust|CHANGE|change
adjustment|CHANGE|change
administrate|MANAGE|manage
administrator|MANAGE|manage
admire|RESPECT|respect
admission|ACCESS|access
admit|ADMIT|admit
adolescent|TEENAGER|teenager
adopt|ACCEPT|accept
adore|KISS-FIST|kiss_fist
adorn|DECORATE|decorate_1
adult|TALL_2|tall_2
advance|STEPS|step
advanced|PROMOTE|promote
advantage|ADVANTAGE|advantage
adventure|TRAVEL|journey
adverb|WHY|why
advertise|ADVERTISE|advertise
advertisement|ADVERTISE|advertise
advice|INFLUENCE|influence
advise|INFLUENCE|influence
adviser|COUNSELOR|counselor
advisor|COUNSELOR|counselor
advocate|SUPPORT|support_1
affect|INFLUENCE|influence
affected|TOUCH-HEART|heart_touch
affirmative|YES|yes
afford|DUE|due
afraid|SCARED|scared
africa|AFRICA|africa
after|OVER|over
afterdinner|DESSERT|dessert
afternoon|AFTERNOON|afternoon
afterward|THEN|then
again|AGAIN|again
againandagain|OFTEN|often
against|RESIST|resist
againstthelaw|FORBID|forbid
age|AGE|age
agegroup|AGE|age
agency|AGENCY|agency
agent|PLAYER|players
ago|PAST|past
agree|AGREEMENT|agreement
agreement|AGREEMENT|agreement
agreeto|ACCEPT|accept
agriculture|FARM|farm
ah|YEAH|yeah
aid|ASSIST|assist
aide|ASSIST|assist
aim|GOAL|to_a_goal
air|WIND|wind
airline|AIRPLANE|airplane
airplane|AIRPLANE|airplane
airport|AIRPLANE|airplane
alarm|ALARM|alarm
alaska|ALASKA|alaska
alcohol|WINE|wine
alcoholic|DRUNK|drunk
alert|ATTENTION|attention
alight|GET-OFF|get_off
align|ALIGN|align
alignment|ALIGN|align
alike|SAME-AS|same_1
alittlebit|A-LITTLE-BIT|a_little_bit
alive|LIVE|address
